Code,Title,Authors,Year,Link
SoM_01,Living (stained) deep-sea foraminifera from the Sea of Marmara: A preliminary study,Fontanier et al. ,2018,https://www.sciencedirect.com/science/article/abs/pii/S0967064517300292
SoM_02,Calcareousbenthic foraminiferal biofacies along a depth transect on thesouthwestern Marmara shelf (Turkey),Phipps et al.,2010,https://www.jstor.org/stable/40959490
SoM_06,Marmara Denizi Geç Kuvaterner foraminifer topluluğu ve paleoşinografik değerlendirmesi. Istanbul Universitesi Deniz Bilimleri ve İşletmeciliği Enstitüsü. PhD Thesis.,Kırcı-Elmas,2006,https://tez.yok.gov.tr/UlusalTezMerkezi/tezDetay.jsp?id=Onh9eG-tUO4stAyoBGpgkQ&no=Q0-3YSKBjcszcLiRULC_Dw
SoM_07,"Benthic Foraminiferal Composition from the Brackish-Marine Transition Zone of the Marmara Sea, Turkey (Eastern Mediterranean)",Kırcı-Elmas,2018,https://www.researchgate.net/publication/325491604_Benthic_Foraminiferal_Composition_from_the_Brackish-Marine_Transition_Zone_of_the_Marmara_Sea_Turkey_Eastern_Mediterranean
SoM_08,"Benthic foraminiferal distribution (living and dead) from a permanently stratified marginal sea (Marmara Sea, Turkey)",Kırcı-Elmas,2013,https://www.researchgate.net/publication/271846980_Benthic_foraminiferal_distribution_living_and_dead_from_a_permanently_stratified_marginal_sea_Marmara_Sea_Turkey
SoM_09,Benthic foraminiferal assemblages in the coastals environment of the northern Marmara shelf (NW Turkey),Avşar,2010,https://www.micropress.org/microaccess/micropaleontology/issue-271/article-1710
SoM_10,Palaeoenvironmental Investigation of Sapropelic Sediments from the Marmara Sea: A Biostratigraphic Approach to Palaeoceanographic History During the Last Glacial-Holocene,Kırcı-Elmas et al.,2008,https://www.researchgate.net/publication/255608334_Palaeoenvironmental_Investigation_of_Sapropelic_Sediments_from_the_Marmara_Sea_A_Biostratigraphic_Approach_to_Palaeoceanographic_History_During_the_Last_Glacial-Holocene
SoM_11,Late Glacial to Holocene benthic foraminifera in the Marmara Sea: implications for Black Sea–Mediterranean Sea connections following the last deglaciation,Kaminski et al.,2002,https://www.sciencedirect.com/science/article/abs/pii/S002532270200347X
SoM_12,Benthic foraminiferal assemblage of Erdek Bay SW Marmara Sea,Avşar et al.,2006,https://avesis.cu.edu.tr/yayin/4ddaf6fc-3347-47f0-b0f7-e1a57c61e10f/benthic-foraminiferal-assemblage-of-erdek-bay-sw-marmara-sea
SoM_13,Late Holocene deep-sea benthic foraminifera from the Sea of Marmara,Alavi,1998,https://www.sciencedirect.com/science/article/abs/pii/0377839888900047
SoM_TS,This Study,Gamze TANIK,2025,
